quote_id,vendor_name,quote_date,product_description,product_category,quoted_unit_price,quoted_quantity,quoted_total,part_number,specifications,valid_until,requested_by,department,quote_notes
QTE023,Security Systems Ltd,2024-04-01,"Axis P3245-LV Network Camera",Security Equipment,769.99,18,13859.82,AXIS-P3245-LV,"5MP varifocal dome, WDR, vandal resistant, analytics ready",2024-05-01,Tom Wilson,Security,10% higher than previous
QTE024,PrintSolutions Inc,2024-04-03,"HP DesignJet T1700 Large Format Printer",Office Equipment,3599.99,5,17999.95,HP-T1700-LF,"44 inch wide format, PostScript, network, roll and sheet feed",2024-05-03,Karen Davis,Engineering,9% price increase
QTE025,Office Essentials,2024-04-05,"Conference Room Table - Executive",Office Furniture,1449.99,15,21749.85,CRT-EXEC-2024,"12-person capacity, solid wood, cable management, premium finish",2024-05-05,David Brown,Facilities,11.5% increase
QTE026,Alternative Tech Solutions,2024-04-08,"Dell Latitude 5430 Business Laptop",Computer Hardware,849.99,50,42499.50,LAT-5430-BUS,"Intel i7-1255U, 16GB RAM, 512GB SSD, 14 inch, TPM 2.0",2024-05-08,Sarah Johnson,Sales Team,Competitive pricing - 10% lower!
QTE027,CloudServices Pro,2024-04-10,"Salesforce Enterprise Edition",Software License,179.99,250,44997.50,SFDC-ENT-2024,"Per user per month, unlimited customization, API access",2024-05-10,Jennifer Lee,Sales Team,9% price increase
QTE028,Heavy Equipment Direct,2024-04-12,"Komatsu PC210LC-11 Excavator",Industrial Equipment,199999.99,1,199999.99,KOMATSU-PC210,"21 ton hydraulic excavator, Tier 4 engine, GPS ready",2024-05-12,Robert Taylor,Construction,5% increase - good deal
QTE029,ServerMax Solutions,2024-04-15,"VMware vSphere Enterprise Plus",Software License,4699.99,80,375999.20,VMWARE-VSPHERE-EP,"Per CPU license, advanced features, distributed resource scheduler",2024-05-15,Mike Chen,Data Center,9% price increase
QTE030,NetworkPro Inc,2024-04-18,"Palo Alto PA-3260 Next-Gen Firewall",Security Equipment,27999.99,3,83999.97,PA-3260-NGFW,"40 Gbps throughput, threat prevention, URL filtering, GlobalProtect",2024-05-18,Lisa Wang,Security,12% higher pricing
QTE031,Global Electronics Ltd,2024-04-20,"Surface Studio 2+ All-in-One",Computer Hardware,4699.99,10,46999.90,MSFT-SS2PLUS,"28 inch 4K+ touchscreen, Intel i7-11370H, RTX 3060, Surface Pen",2024-05-20,Alex Rodriguez,Design Team,9% price increase
QTE032,TechSupply Corp,2024-04-22,"Dell OptiPlex 7000 Micro Desktop",Computer Hardware,759.99,70,53199.30,D7000-MICRO,"Intel i5-12500T, 8GB RAM, 256GB SSD, ultra-small form factor",2024-05-22,John Smith,General Office,8.5% increase
QTE033,Security Systems Ltd,2024-04-25,"Genetec Security Center",Software License,999.99,40,39999.60,GENETEC-SC-2024,"Per camera license, unified security platform, video analytics",2024-05-25,Tom Wilson,Security,11% price increase
QTE034,PrintSolutions Inc,2024-04-28,"Canon imageRUNNER ADVANCE DX C5870i",Office Equipment,9899.99,6,59399.94,CANON-DX-C5870i,"70 ppm color MFP, scan to cloud, mobile print, finishing options",2024-05-28,Karen Davis,Print Services,10% higher than last purchase
QTE035,Office Essentials,2024-05-01,"Modular Workstation System",Office Furniture,999.99,120,119998.80,MWS-2024-PRO,"Height-adjustable desk, privacy screens, storage, power/data",2024-06-01,David Brown,Facilities,11% price increase
QTE036,CloudServices Pro,2024-05-03,"Microsoft Azure Reserved Instances",Cloud Services,2750.00,10,27500.00,AZURE-RI-2024,"1-year commitment, Standard D4s v3, 50% cost savings",2024-06-03,Jennifer Lee,IT Department,10% increase from last year
QTE037,Budget Server Solutions,2024-05-05,"Dell PowerEdge R650 Server",Server Hardware,3399.99,15,50999.85,PE-R650-002,"Dual Intel Xeon Silver, 64GB RAM, 1TB NVMe, iDRAC9",2024-06-05,Mike Chen,Data Center,Competitive pricing - 10% lower!
QTE038,NetworkPro Inc,2024-05-08,"Cisco Catalyst 9200 Switch",Network Equipment,2399.99,20,47999.80,C9200-48P,"48-port Gigabit, Layer 3, StackWise, energy efficient",2024-06-08,Lisa Wang,Network Team,9% price increase
QTE039,Global Electronics Ltd,2024-05-10,"HP Z4 G5 Workstation",Computer Hardware,2899.99,15,43499.85,HP-Z4-G5,"Intel Xeon W-2435, 32GB ECC, RTX A4000, 1TB NVMe",2024-06-10,Sarah Johnson,CAD Team,7.5% increase
QTE040,ServerMax Solutions,2024-05-12,"Pure Storage FlashArray//C40",Storage Hardware,99999.99,1,99999.99,PURE-FA-C40,"All-flash storage, 184TB effective, NVMe, data reduction",2024-06-12,Mike Chen,Data Center,11% price increase
