ticket_id,title,description,priority,status,created_at,component
JIRA-119,Dashboard not loading,Dashboard not loading. Detailed investigation revealed related service behavior causing this issue.,Low,Open,2025-03-27,Integration
JIRA-120,Mobile layout broken,Mobile layout broken. Detailed investigation revealed related service behavior causing this issue.,Low,Open,2025-02-20,UI
JIRA-121,Duplicate records in analytics,Duplicate records in analytics. Detailed investigation revealed related service behavior causing this issue.,Medium,Closed,2025-02-26,UI
JIRA-122,Integration service timeout,Integration service timeout. Detailed investigation revealed related service behavior causing this issue.,Medium,Open,2025-02-05,UI
JIRA-123,Webhook failing to deliver,Webhook failing to deliver. Detailed investigation revealed related service behavior causing this issue.,Medium,Closed,2025-01-05,Integration
JIRA-124,File upload limit exceeded,File upload limit exceeded. Detailed investigation revealed related service behavior causing this issue.,Low,Closed,2025-01-05,Infra
JIRA-125,Slow startup on containers,Slow startup on containers. Detailed investigation revealed related service behavior causing this issue.,High,Open,2025-03-19,Data
JIRA-126,Pipeline job failure,Pipeline job failure. Detailed investigation revealed related service behavior causing this issue.,Medium,Closed,2025-01-12,Data
JIRA-127,UI buttons unresponsive,UI buttons unresponsive. Detailed investigation revealed related service behavior causing this issue.,Low,In Progress,2025-03-27,Infra
JIRA-128,Missing metrics in KPI report,Missing metrics in KPI report. Detailed investigation revealed related service behavior causing this issue.,Medium,Open,2025-01-22,Analytics
JIRA-129,Session timeout too short,Session timeout too short. Detailed investigation revealed related service behavior causing this issue.,Low,Open,2025-01-20,UI
JIRA-130,Font rendering issue,Font rendering issue. Detailed investigation revealed related service behavior causing this issue.,Low,Closed,2025-01-28,Infra
JIRA-131,High latency on search service,High latency on search service. Detailed investigation revealed related service behavior causing this issue.,High,In Progress,2025-03-01,Analytics
JIRA-132,Stale cache after update,Stale cache after update. Detailed investigation revealed related service behavior causing this issue.,High,Open,2025-02-03,Analytics
JIRA-133,Incorrect timezone in logs,Incorrect timezone in logs. Detailed investigation revealed related service behavior causing this issue.,Medium,Closed,2025-01-12,UI
JIRA-134,Authentication token missing,Authentication token missing. Detailed investigation revealed related service behavior causing this issue.,Medium,Closed,2025-03-09,Data
JIRA-135,Broken image links,Broken image links. Detailed investigation revealed related service behavior causing this issue.,Low,Closed,2025-02-06,Integration
JIRA-136,API gateway misrouting,API gateway misrouting. Detailed investigation revealed related service behavior causing this issue.,Low,Open,2025-03-30,Data
JIRA-137,Database deadlock detected,Database deadlock detected. Detailed investigation revealed related service behavior causing this issue.,High,Closed,2025-02-26,Data
JIRA-138,Data sync delay,Data sync delay. Detailed investigation revealed related service behavior causing this issue.,Low,Open,2025-03-31,Integration
JIRA-139,Network timeout in production,Network timeout in production. Detailed investigation revealed related service behavior causing this issue.,Low,Closed,2025-01-18,Integration
JIRA-140,Job scheduler overlap,Job scheduler overlap. Detailed investigation revealed related service behavior causing this issue.,Low,Closed,2025-02-18,Infra
JIRA-141,Dashboard filters not working,Dashboard filters not working. Detailed investigation revealed related service behavior causing this issue.,Low,Closed,2025-03-22,Analytics
JIRA-142,Autoscaling not triggering,Autoscaling not triggering. Detailed investigation revealed related service behavior causing this issue.,High,Open,2025-01-29,Integration
JIRA-143,High CPU usage,High CPU usage. Detailed investigation revealed related service behavior causing this issue.,High,Open,2025-01-12,Integration
JIRA-144,UI dropdown not clickable,UI dropdown not clickable. Detailed investigation revealed related service behavior causing this issue.,High,Closed,2025-03-21,Security
JIRA-145,Alert rules misconfigured,Alert rules misconfigured. Detailed investigation revealed related service behavior causing this issue.,High,Closed,2025-01-03,UI
JIRA-146,ETL transformation error,ETL transformation error. Detailed investigation revealed related service behavior causing this issue.,High,In Progress,2025-02-24,Analytics
JIRA-147,Orphaned containers,Orphaned containers. Detailed investigation revealed related service behavior causing this issue.,High,Open,2025-01-02,Security
JIRA-148,SSL certificate expired,SSL certificate expired. Detailed investigation revealed related service behavior causing this issue.,Medium,In Progress,2025-03-06,Analytics
JIRA-149,Missing audit logs,Missing audit logs. Detailed investigation revealed related service behavior causing this issue.,Low,Closed,2025-01-13,Infra
JIRA-150,Webhook authentication failed,Webhook authentication failed. Detailed investigation revealed related service behavior causing this issue.,High,In Progress,2025-03-06,Data
JIRA-151,Memory spike during import,Memory spike during import. Detailed investigation revealed related service behavior causing this issue.,Medium,Closed,2025-02-07,Infra
